title,author,genre,length_category
Cracks in My Foundation,Marian Keyes,Fiction,average
A Fistful of Charms,Kim Harrison,Fiction,long
For a Few Demons More,Kim Harrison,Fiction,long
Mysteries of Pittsburgh,Michael Chabon,Fiction,average
Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,average
Flight of the Nighthawks,Raymond E. Feist,Fiction,average
Into a Dark Realm,Raymond E. Feist,Fiction,average
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,short
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,average
Last of the Wilds,Trudi Canavan,Fiction,long
Voice of the Gods,Trudi Canavan,Fiction,long
Missing Mom,Joyce Carol Oates,Fiction,long
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,long
Touch Not the Cat,Mary Stewart,Fiction,average
King of the Vagabonds,Neal Stephenson,Fiction,average
Odalisque,Neal Stephenson,Fiction,long
Black Boy,Richard Wright,Biography & Autobiography,long
The Sheltering Sky,Paul Bowles,Fiction,average
Rat Bastards,John Shea,Biography & Autobiography,average
The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,average
The Thorn Birds,Colleen McCullough,Fiction,long
Krakatoa,Simon Winchester,History,long
The Professor and the Madman,Simon Winchester,Biography & Autobiography,average
Hit Parade,Lawrence Block,Fiction,average
The Curtain,Milan Kundera,Literary Collections,short
"A Hard Day's Write, 3e",Steve Turner,Music,average
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,short
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,long
Sex with the Queen,Eleanor Herman,History,average
Brave New World,Aldous Huxley,Fiction,average
Queen of Babble,Meg Cabot,Fiction,average
"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,average
Good Omens,Neil Gaiman;Terry Pratchett,Fiction,long
Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,long
Continental Drift,Russell Banks,Fiction,long
The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,average
Next,Michael Crichton,Fiction,long
How to Be Popular,Meg Cabot,Juvenile Fiction,average
The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,average
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,short
The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,average
How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,short
Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,short
Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,average
The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,long
Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,average
The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,short
The Alchemist - Gift Edition,Paulo Coelho,Fiction,short
Pretty Things,Liz Goldwyn,Biography & Autobiography,average
Eaters of the Dead,Michael Crichton,Fiction,average
Genome,Matt Ridley,Science,average
The Zero,Jess Walter,Fiction,average
Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,average
DREAM & THE UNDERWOR,James Hillman,Psychology,average
The Crying of Lot 49,Thomas Pynchon,Fiction,short
An American Childhood,Annie Dillard,Biography & Autobiography,average
Teaching a Stone to Talk,Annie Dillard,Literary Criticism,short
Holy the Firm,Annie Dillard,Literary Criticism,short
Think on These Things,Jiddu Krishnamurti,Religion,average
The Dance of Intimacy,Harriet Lerner,Psychology,average
Tell My Horse,Zora Neale Hurston,Fiction,average
Jonah's Gourd Vine,Zora Neale Hurston,Fiction,average
The Chaneysville Incident,David Bradley,History,long
The Writing Life,Annie Dillard,Literary Criticism,short
The Lost Continent,Bill Bryson,Travel,average
Three by Annie Dillard,Annie Dillard,Fiction,long
Declarations of Independence,Howard Zinn,Political science,average
The Complete Stories,Zora Neale Hurston,Fiction,average
"Legends, Lies & Cherished Myths of World History",Richard Shenkman,History,average
The Infinite Plan,Isabel Allende,Fiction,average
Soul Mates,Thomas Moore,Psychology,average
"Cathedral, Forge and Waterwheel",Joseph Gies,History,average
The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry,average
Success Stories,Russell Banks,Fiction,short
Testaments Betrayed,Milan Kundera,Literary Collections,average
Mr. Ives' Christmas,Oscar Hijuelos,Fiction,average
Slowness,Milan Kundera,Fiction,short
As Nature Made Him,John Colapinto,Medical,average
The Active Side of Infinity,Carlos Castaneda,"Body, Mind & Spirit",average
Brave New World,Aldous Huxley,Fiction,average
You Can't Go Home Again,Thomas Wolfe,Fiction,long
The Fifth Mountain,Paulo Coelho,Fiction,average
V.,Thomas Pynchon,Fiction,long
Identity,Milan Kundera,Fiction,short
The Poisonwood Bible,Barbara Kingsolver,Fiction,long
Cloudsplitter,Russell Banks,Fiction,long
"Plato, Not Prozac!",Lou Marinoff,Philosophy,average
The Crying of Lot 49,Thomas Pynchon,Fiction,short
The Map That Changed the World,Simon Winchester;Soun Vannithone,Biography & Autobiography,average
